Overall_Accuracy,Overall_F1_Score,AUROC,Equal_Opportunity_Difference,SHAP_Rank_Stability,Condition,Parameter_Value
0.5,0.0,0.0,0.0,1.0,Baseline,N/A
0.8790909090909091,0.8673978065802592,0.9555600668075407,0.012168034765813629,-0.39999999999999997,bias,0.1
0.8827272727272727,0.8725716167270332,0.957376156516279,0.02684063373718537,-0.39999999999999997,bias,0.3
0.8863636363636364,0.8770088553624139,0.9594455558836421,0.061924917188075024,-0.39999999999999997,bias,0.5
0.8924242424242425,0.8841761827079935,0.9627820540789132,0.07469207228055752,-0.39999999999999997,bias,0.7
0.8927272727272727,0.8849154746423927,0.9633189890921849,0.052797607464383334,-0.39999999999999997,bias,0.9
0.8818181818181818,0.8704318936877077,0.956091067261614,-0.010225037602684228,-0.39999999999999997,noise,0.1
0.8803030303030303,0.8686398403724642,0.9551135165945501,-0.02970718420156626,-0.39999999999999997,noise,0.2
0.8812121212121212,0.8695073235685752,0.9550020309442043,-0.02567958357432032,-0.39999999999999997,noise,0.3
0.8806060606060606,0.8687541638907396,0.9535479104132996,-0.035459662288930605,-0.39999999999999997,noise,0.4
0.8653198653198653,0.8415213946117274,0.9443850380905747,0.02614073987629828,0.0,imbalance,0.2
0.8669552669552669,0.8519113395438483,0.9472281746817381,0.016709560575731586,-0.39999999999999997,imbalance,0.4
0.8765151515151515,0.862910008410429,0.9519210057930597,-0.004842615012106477,-0.39999999999999997,imbalance,0.6
0.8819304152637486,0.8716447047340166,0.9555148650254954,0.010876840696117718,-0.39999999999999997,imbalance,0.8
